City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
Bismarck,US,1613074880,46.8083,-100.7837,90,54,-7.6,11.5
Bredasdorp,ZA,1613074880,-34.5322,20.0403,100,88,71.6,8.05
Faanui,PF,1613074880,-16.4833,-151.75,0,72,81.86,16.26
Flinders,AU,1613074880,-34.5833,150.8552,100,88,69.01,1.01
Bluff,NZ,1613074848,-46.6,168.3333,38,78,51.91,10.38
Trelew,AR,1613074881,-43.249,-65.3051,53,18,95.29,29.37
Dikson,RU,1613074881,73.5069,80.5464,100,89,-16.28,4.29
New Norfolk,AU,1613074881,-42.7826,147.0587,16,66,62.01,3.0
Diamantino,BR,1613074881,-14.4086,-56.4461,100,85,79.11,5.97
Hermanus,ZA,1613074882,-34.4187,19.2345,16,84,73.99,1.99
Erenhot,CN,1613074882,43.6475,111.9767,0,83,16.47,3.51
Mackay,AU,1613074882,-21.15,149.2,40,69,77.0,8.05
Port Moresby,PG,1613074882,-9.4431,147.1797,40,94,75.2,5.75
Cidreira,BR,1613074882,-30.1811,-50.2056,83,76,76.71,16.17
Saint George,US,1613074634,37.1041,-113.5841,1,35,62.01,3.53
Puerto Ayora,EC,1613074883,-0.7393,-90.3518,75,83,78.8,6.91
Cherskiy,RU,1613074883,68.75,161.3,0,87,-23.84,0.72
Jamestown,US,1613074836,42.097,-79.2353,40,54,26.01,8.05
Mataura,NZ,1613074884,-46.1927,168.8643,1,68,49.62,1.97
Ust'-Ordynskiy,RU,1613074884,52.805,104.7508,90,85,3.2,11.18
Hithadhoo,MV,1613074884,-0.6,73.0833,2,79,81.48,13.62
Port Alfred,ZA,1613074884,-33.5906,26.891,48,94,72.0,5.01
Matadi,CD,1613074878,-5.8167,13.45,100,88,78.15,5.41
Provideniya,RU,1613074885,64.3833,-173.3,0,64,-7.6,24.61
Leningradskiy,RU,1613074885,69.3833,178.4167,100,86,-16.92,11.68
Tabou,CI,1613074885,4.423,-7.3528,100,87,79.25,5.82
Hofn,IS,1613074885,64.2539,-15.2082,100,72,39.87,18.03
Albany,US,1613074885,42.6001,-73.9662,75,41,28.99,1.01
Ushuaia,AR,1613074720,-54.8,-68.3,75,82,51.8,12.66
Bowen,AU,1613074886,-20.0167,148.2333,80,94,71.6,5.75
Klaksvík,FO,1613074886,62.2266,-6.589,20,93,32.0,5.75
College,US,1613074886,64.8569,-147.8028,75,66,12.0,4.61
Mīzan Teferī,ET,1613074886,6.9833,35.5833,72,39,70.9,1.05
Haines Junction,CA,1613074886,60.7522,-137.5108,0,52,-20.2,1.39
Hobart,AU,1613074742,-42.8794,147.3294,20,48,64.4,26.46
Vao,NC,1613074887,-22.6667,167.4833,5,82,76.15,7.7
Bielsk Podlaski,PL,1613074887,52.7651,23.1865,100,85,9.0,4.0
Kyakhta,RU,1613074887,50.3508,106.4494,100,91,1.85,1.7
Kapaa,US,1613074887,22.0752,-159.319,75,60,73.4,8.05
São Filipe,CV,1613074888,14.8961,-24.4956,0,68,72.77,9.08
Yellowknife,CA,1613074888,62.456,-114.3525,20,77,-5.01,13.8
Mar del Plata,AR,1613074809,-38.0023,-57.5575,90,88,71.6,16.11
Busselton,AU,1613074624,-33.65,115.3333,0,95,48.99,9.51
San Patricio,US,1613074889,28.017,-97.5169,90,100,42.8,17.27
Norman Wells,CA,1613074889,65.282,-126.8329,20,71,-2.2,9.22
Waipawa,NZ,1613074889,-41.4122,175.5153,90,94,59.0,24.16
Salalah,OM,1613074889,17.0151,54.0924,0,56,71.6,2.3
